sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
LP_ICE_21_Core1_0-10_cDNA	74545	58463	78.43	52008	36845	49.43	15659	21.01
LP_ICE_21_Core1_0-10_DNA	288133	225976	78.43	224317	218516	75.84	215393	74.75
LP_ICE_21_Core1_10-20_cDNA	218201	174596	80.02	171055	155936	71.46	138629	63.53
LP_ICE_21_Core1_10-20_DNA	173945	135767	78.05	134822	131808	75.78	130357	74.94
LP_ICE_21_Core1_20-30_cDNA	205837	164898	80.11	161987	155345	75.47	147155	71.49
LP_ICE_21_Core1_20-30_DNA	177229	135840	76.65	135131	131758	74.34	129777	73.23
LP_ICE_21_Core1_30-40_cDNA	137697	103387	75.08	101766	94422	68.57	89066	64.68
LP_ICE_21_Core1_30-40_DNA	172455	135956	78.84	133920	124826	72.38	120897	70.1
LP_ICE_21_Core1_40-50_cDNA	196618	154964	78.81	150404	128835	65.53	108906	55.39
LP_ICE_21_Core1_40-50_DNA	156272	122078	78.12	120906	115308	73.79	113045	72.34
LP_ICE_21_Core1_50-60_cDNA	254856	199971	78.46	196988	184573	72.42	170911	67.06
LP_ICE_21_Core1_50-60_DNA	175009	138190	78.96	135738	124161	70.95	117715	67.26
LP_ICE_21_Core1_60-70_cDNA	174932	138127	78.96	130512	104232	59.58	77463	44.28
LP_ICE_21_Core1_60-70_DNA	183717	139112	75.72	137699	130627	71.1	127718	69.52
LP_ICE_21_Core1_70-80_cDNA	184531	145236	78.71	142097	127291	68.98	118866	64.42
LP_ICE_21_Core1_70-80_DNA	170514	135499	79.47	129856	106948	62.72	100010	58.65
LP_ICE_21_Core1_80-90_cDNA	124374	100327	80.67	99022	96728	77.77	95349	76.66
LP_ICE_21_Core1_80-90_DNA	219754	175680	79.94	173773	165141	75.15	161036	73.28
LP_ICE_21_Core1_90-100_cDNA	90630	67958	74.98	65161	60086	66.3	37856	41.77
LP_ICE_21_Core1_90-100_DNA	227645	186035	81.72	185164	181383	79.68	172844	75.93
LP_ICE_21_Core2_0-10_cDNA	36062	28371	78.67	28292	27650	76.67	27578	76.47
LP_ICE_21_Core2_0-10_DNA	134471	106624	79.29	106300	105749	78.64	104954	78.05
LP_ICE_21_Core2_10-20_cDNA	97644	72236	73.98	71773	70307	72	69573	71.25
LP_ICE_21_Core2_10-20_DNA	166737	132810	79.65	116527	75226	45.12	40163	24.09
LP_ICE_21_Core2_100-110_cDNA	64006	50588	79.04	48831	46065	71.97	27748	43.35
LP_ICE_21_Core2_100-110_DNA	184158	152822	82.98	151968	149559	81.21	141138	76.64
LP_ICE_21_Core2_20-30_cDNA	244846	191483	78.21	188917	167086	68.24	156508	63.92
LP_ICE_21_Core2_20-30_DNA	147066	117610	79.97	114436	99282	67.51	92413	62.84
LP_ICE_21_Core2_30-40_cDNA	236093	185216	78.45	183909	180343	76.39	177626	75.24
LP_ICE_21_Core2_30-40_DNA	198053	157369	79.46	155541	147994	74.72	144643	73.03
LP_ICE_21_Core2_40-50_cDNA	202974	160639	79.14	154507	130506	64.3	105067	51.76
LP_ICE_21_Core2_40-50_DNA	200268	158973	79.38	156754	145732	72.77	139301	69.56
LP_ICE_21_Core2_50-60_cDNA	238780	187745	78.63	186511	182935	76.61	180307	75.51
LP_ICE_21_Core2_50-60_DNA	174785	137515	78.68	135418	124352	71.15	118885	68.02
LP_ICE_21_Core2_60-70_cDNA	155905	125319	80.38	118311	93765	60.14	72529	46.52
LP_ICE_21_Core2_60-70_DNA	159441	127928	80.24	123657	104563	65.58	96890	60.77
LP_ICE_21_Core2_70-80_cDNA	187073	149744	80.05	146651	132828	71	122933	65.71
LP_ICE_21_Core2_70-80_DNA	189409	147209	77.72	146291	142617	75.3	141596	74.76
LP_ICE_21_Core2_80-90_cDNA	179030	143304	80.04	137685	117223	65.48	97585	54.51
LP_ICE_21_Core2_80-90_DNA	210884	166501	78.95	165319	161474	76.57	159728	75.74
LP_ICE_21_Core2_90-100_cDNA	75468	54731	72.52	51781	46821	62.04	31932	42.31
LP_ICE_21_Core2_90-100_DNA	230753	186402	80.78	185051	181200	78.53	176554	76.51
LP_ICE_21_Core3_0-10_cDNA	1640	842	51.34	649	595	36.28	585	35.67
LP_ICE_21_Core3_0-10_DNA	136650	108485	79.39	107525	105223	77	103841	75.99
LP_ICE_21_Core3_10-20_cDNA	207727	163460	78.69	160217	145224	69.91	133122	64.09
LP_ICE_21_Core3_10-20_DNA	201027	147349	73.3	146468	143248	71.26	141836	70.56
LP_ICE_21_Core3_20-30_cDNA	206376	162482	78.73	158428	142072	68.84	129623	62.81
LP_ICE_21_Core3_20-30_DNA	169431	135397	79.91	134603	131322	77.51	129379	76.36
LP_ICE_21_Core3_30-40_cDNA	121372	94258	77.66	91466	77363	63.74	71055	58.54
LP_ICE_21_Core3_30-40_DNA	104323	81734	78.35	74714	53395	51.18	44807	42.95
LP_ICE_21_Core3_40-50_cDNA	5984	4749	79.36	4524	4213	70.4	4176	69.79
LP_ICE_21_Core3_40-50_DNA	175525	135225	77.04	132041	115348	65.72	108158	61.62
LP_ICE_21_Core3_50-60_cDNA	154141	124182	80.56	116498	90839	58.93	69390	45.02
LP_ICE_21_Core3_50-60_DNA	182106	142804	78.42	137632	114474	62.86	103404	56.78
LP_ICE_21_Core3_60-70_cDNA	130963	98687	75.35	95157	82707	63.15	74926	57.21
LP_ICE_21_Core3_60-70_DNA	178235	139974	78.53	138347	134212	75.3	130045	72.96
LP_ICE_21_Core3_70-80_cDNA	161539	126673	78.42	119260	93522	57.89	76129	47.13
LP_ICE_21_Core3_70-80_DNA	142864	112873	79.01	110600	101749	71.22	99638	69.74
LP_ICE_21_Core3_80-90_cDNA	90122	69445	77.06	64727	55697	61.8	34570	38.36
LP_ICE_21_Core3_80-90_DNA	197327	155887	79	154816	151875	76.97	148833	75.42
LP_ICE_21_Core3_90-100_cDNA	146837	115655	78.76	113065	108041	73.58	70113	47.75
LP_ICE_21_Core3_90-100_DNA	188245	138016	73.32	136889	132749	70.52	120421	63.97
LP_ICE_21_MoComE_cDNA	47774	36555	76.52	34704	28554	59.77	7607	15.92
LP_ICE_21_MoComE_DNA	54180	40397	74.56	38451	31554	58.24	8230	15.19
LP_ICE_21_NTC-Index_cDNA	144	11	7.64	1	0	0	0	0
LP_ICE_21_NTC-Index_DNA	53	4	7.55	1	0	0	0	0
LP_ICE_21_NTC-TS_cDNA	38894	30764	79.1	30731	30360	78.06	30177	77.59
LP_ICE_21_NTC-TS_DNA	86802	67131	77.34	66712	66288	76.37	66271	76.35
LP_ICE_21_Snow1_cDNA	122802	93743	76.34	91770	86856	70.73	85720	69.8
LP_ICE_21_Snow1_DNA	209199	160247	76.6	157806	144847	69.24	131600	62.91
LP_ICE_21_Snow2_cDNA	107991	77788	72.03	69329	43246	40.05	35568	32.94
LP_ICE_21_Snow2_DNA	207342	160361	77.34	156451	133192	64.24	125746	60.65
LP_ICE_21_Snow3_cDNA	142006	108734	76.57	97779	63028	44.38	48842	34.39
LP_ICE_21_Snow3_DNA	165229	128156	77.56	124395	106925	64.71	101727	61.57
LP_ICE_21_Snow4_cDNA	134341	102411	76.23	92525	62400	46.45	48973	36.45
LP_ICE_21_Snow4_DNA	184532	139905	75.82	138520	134079	72.66	130139	70.52
LP_ICE_21_Snow5_cDNA	196295	148847	75.83	147391	142926	72.81	140165	71.41
LP_ICE_21_Snow5_DNA	218600	166651	76.24	164463	156592	71.63	151516	69.31
LP_ICE_21_Snow6_cDNA	130720	100870	77.16	99787	96729	74	95111	72.76
LP_ICE_21_Snow6_DNA	240578	185718	77.2	183588	172443	71.68	164449	68.36
LP_ICE_21_Snow7_cDNA	8044	6271	77.96	6225	6179	76.82	6149	76.44
LP_ICE_21_Snow7_DNA	187889	147162	78.32	146089	141712	75.42	132261	70.39
LP_ICE_21_Water1_cDNA	98647	78230	79.3	69965	50318	51.01	24627	24.96
LP_ICE_21_Water1_DNA	145340	115078	79.18	110954	92789	63.84	83295	57.31
LP_ICE_21_Water2_cDNA	130536	99777	76.44	90123	66337	50.82	31352	24.02
LP_ICE_21_Water2_DNA	174306	136909	78.55	132663	112868	64.75	100865	57.87
LP_ICE_21_Water3_cDNA	129708	102499	79.02	95210	74596	57.51	41345	31.88
LP_ICE_21_Water3_DNA	140219	107021	76.32	102882	85296	60.83	76157	54.31